,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0,autosomes,0.00673784830317,0.0346408814218,0.159236015303,-0.624456794763,127985286
1,1,autosomes,0.00738574004205,0.0367623072557,0.170001530771,-0.566539881454,75511699
2,2,autosomes,0.00761584655615,0.037252108714,0.172764626352,-0.543796487409,54923862
3,3,autosomes,0.00773676533684,0.0375493113458,0.174175802452,-0.532080092337,42555876
4,4,autosomes,0.00782637801057,0.0376709321984,0.174594396968,-0.525282456961,34931035
5,5,autosomes,0.0079008981629,0.0376552707008,0.17502619905,-0.515345216139,29641628
6,6,autosomes,0.0078990007286,0.0376819977424,0.174760542573,-0.517235643032,25043868
7,7,autosomes,0.00798438553702,0.0377986061045,0.175543717055,-0.509729186916,21871895
8,8,autosomes,0.00801206270882,0.0378421718321,0.175503996104,-0.505892063817,18849323
9,9,autosomes,0.00804994730944,0.0378195042068,0.175227351974,-0.502413269349,16487324
10,10,autosomes,0.00807044440918,0.0378014079712,0.175495687743,-0.500720549137,14854556
11,11,autosomes,0.00808051461065,0.0376736463366,0.174993191596,-0.502131284292,13352116
12,12,autosomes,0.00817205567567,0.0379593106036,0.175547253586,-0.496436924381,11987181
13,13,autosomes,0.00816614469152,0.0378140001067,0.175477034106,-0.498655699752,11123219
14,14,autosomes,0.0081862277411,0.0379058965215,0.17539946256,-0.491880496029,9924784
15,15,autosomes,0.00818664309168,0.0378267100484,0.175212586348,-0.486179691781,8914533
16,16,autosomes,0.00819302619634,0.0378111439464,0.175206539547,-0.490795627224,8497542
17,17,autosomes,0.00824538146072,0.0379100804579,0.175400214167,-0.483964080585,7637625
18,18,autosomes,0.00825132079404,0.037968412381,0.175135007349,-0.480098156529,7162667
19,19,autosomes,0.00824904395314,0.0378615733424,0.17497610052,-0.486093125379,6542993
20,20,autosomes,0.00828306984065,0.0379437262334,0.175148639644,-0.479897734599,6050396
21,21,autosomes,0.00831449759203,0.0378024103517,0.175363091855,-0.467288558774,5691983
22,22,autosomes,0.00831774470621,0.037902237744,0.175417868282,-0.480345188077,5376558
23,23,autosomes,0.00831486411622,0.0377877127246,0.174683850007,-0.473667738844,4888694
24,24,autosomes,0.00831249784509,0.0377964776628,0.17532327001,-0.482399833421,4634468
25,25,autosomes,0.00839048751509,0.037882396078,0.175170597968,-0.469147239227,4337659
26,26,autosomes,0.00843794357258,0.0379370527247,0.17531452733,-0.456603497825,4290559
27,27,autosomes,0.00833243155331,0.0379251505481,0.17536987831,-0.483282861756,3654079
28,28,autosomes,0.00842187465145,0.037627595555,0.175022123981,-0.469361968821,3595764
29,29,autosomes,0.00841546979427,0.0379025068389,0.175048507634,-0.465945718251,3354265
30,30,autosomes,0.00839081511753,0.0380437341793,0.174815230201,-0.478650694911,3239928
31,31,autosomes,0.00839729324201,0.0376853024945,0.174658995763,-0.472817362266,3031710
32,32,autosomes,0.00843987916223,0.0380078163798,0.175195969532,-0.462026130471,2885905
33,33,autosomes,0.00846624785285,0.0375577770972,0.174529564584,-0.457139013696,2708577
34,34,autosomes,0.00844940326842,0.0376730200125,0.174184105944,-0.455680767217,2592720
35,35,autosomes,0.00847374237923,0.0378191336688,0.175163226391,-0.453930663626,2504512
36,36,autosomes,0.00845509454339,0.0377341046172,0.175027458233,-0.458670785489,2331213
37,37,autosomes,0.00852843152769,0.0379309502886,0.174385498199,-0.463911970459,2214382
38,38,autosomes,0.00850208292296,0.0382057599656,0.175336763942,-0.460238976456,2112972
39,39,autosomes,0.00849562287813,0.0380192162857,0.175107106202,-0.472919340739,2001772
40,40,autosomes,0.00852555422293,0.037985934954,0.175757038129,-0.44545195031,1938525
41,41,autosomes,0.00855668925734,0.0380589049021,0.175232730942,-0.441350286086,1819001
42,42,autosomes,0.00846366811678,0.0375403436501,0.173683506833,-0.452951046967,1714919
43,43,autosomes,0.00844258077102,0.0378092694278,0.173707692856,-0.465530892254,1527010
44,44,autosomes,0.00851257520425,0.0377438048542,0.174341429673,-0.45497510935,1600606
45,45,autosomes,0.00850080644631,0.0378197880948,0.173542449388,-0.446874692184,1480015
46,46,autosomes,0.00840681129012,0.0375983830061,0.173771602116,-0.471909642579,1408723
47,47,autosomes,0.008572221838,0.0378023858476,0.174429521867,-0.433705751115,1310466
48,48,autosomes,0.00841277407457,0.0374541971684,0.173409125403,-0.473258342143,1245704
49,49,autosomes,0.00853379876463,0.037330329048,0.171885824362,-0.434302832581,1323383
50,50,autosomes,0.00849103938153,0.0375942848945,0.173697194947,-0.452233095636,1148834
51,51,autosomes,0.00857701558273,0.0380017356484,0.172643866403,-0.4524708366,1156334
52,52,autosomes,0.00849688349869,0.0376838313531,0.173717192747,-0.469353966718,1081687
53,53,autosomes,0.00869161739864,0.0381175066608,0.174756359208,-0.445084998776,1002554
54,54,autosomes,0.00859090624907,0.0376720309921,0.173109997868,-0.445734952367,963895
55,55,autosomes,0.00848075282418,0.0376569782741,0.1739992105,-0.456876644899,983793
56,56,autosomes,0.00854672238681,0.0375966551197,0.173586117771,-0.458253631003,843690
57,57,autosomes,0.0086746863793,0.0380739904244,0.173554337668,-0.4593135288,807974
58,58,autosomes,0.00864797723239,0.0378242151697,0.172561096771,-0.451087477471,906218
59,59,autosomes,0.0085617181424,0.0375089563771,0.173830747169,-0.464293504632,797809
60,60,autosomes,0.00857031188581,0.0379264090763,0.173327222981,-0.434645914147,799358
61,61,autosomes,0.0084182922932,0.0375049666166,0.172688808395,-0.479261655413,747048
62,62,autosomes,0.00854814582666,0.0379065076658,0.173945099526,-0.45098048444,688877
63,63,autosomes,0.00871298426817,0.0375929783335,0.1733546262,-0.425559207283,673860
